ID,sex,size ,audience,posi,bites ,bitesfour,forlat,mobi ,timenear,timefar,agre,court,gono ,observer
1F,female ,2.5,fe,near,77,43,1,111,514,126,NA,NA,NA,naty 
5F,female ,2.3,fe,near,26,26,7,42,539,464,NA,NA,NA,naty 
10F,female ,1.9,fe,near,74,63,10,90,696,56,NA,NA,NA,naty 
14F,female ,2.1,fe,near,106,76,3,25,816,42,NA,NA,NA,naty 
17F,female ,2,fe,near,72,60,3,42,1073,0,NA,NA,NA,naty 
20F,female ,1.9,fe,near,78,54,10,86,745,104,NA,NA,NA,naty 
25F,female ,1.8,fe,near,31,20,4,10,1116,0,NA,NA,NA,naty 
29F,female ,1.8,fe,near,83,62,4,60,940,27,NA,NA,NA,naty 
34F,female ,2,fe,near,87,43,30,71,840,117,NA,NA,NA,naty 
40F,female ,2,fe,near,132,47,13,37,1095,0,NA,NA,NA,naty 
41F,female ,1.9,fe,near,71,72,4,98,719,207,NA,NA,NA,naty 
44F,female ,2.1,fe,near,167,51,40,102,767,85,NA,NA,NA,naty 
50F,female ,2,fe,near,122,21,7,72,972,0,NA,NA,NA,naty 
53F,female ,2,fe,near,40,55,5,30,1022,3,NA,NA,NA,naty 
56F,female ,2,fe,near,191,25,22,85,925,66,NA,NA,NA,naty 
61F,female ,2,fe,near,26,37,9,97,649,84,NA,NA,NA,naty 
65F,female ,2.5,fe,near,84,79,45,149,617,79,NA,NA,NA,naty 
67F,female ,2,fe,near,166,15,11,78,949,37,NA,NA,NA,naty 
69F,female ,2.3,fe,near,61,29,77,96,740,154,NA,NA,NA,naty 
71F,female ,1.7,fe,near,102,75,151,19,1079,32,NA,NA,NA,naty 
73F,female ,1.9,fe,near,166,68,14,108,777,142,NA,NA,NA,naty 
75F,female ,1.7,fe,near,84,23,5,108,702,197,NA,NA,NA,naty 
77F,female ,2,fe,near,80,42,12,64,872,102,NA,NA,NA,naty 
79F,female ,2.1,fe,near,55,16,61,103,461,173,NA,NA,NA,naty 
81F,female ,1.9,fe,near,55,40,125,121,620,206,NA,NA,NA,naty 
83F,female ,2.1,fe,near,124,51,5,18,1152,11,NA,NA,NA,naty 
86F,female ,2.2,fe,near,88,47,10,105,584,299,NA,NA,NA,naty 
88F,female ,1.9,fe,near,145,20,6,94,884,80,NA,NA,NA,naty 
90F,female ,2.2,fe,near,22,6,17,62,702,127,NA,NA,NA,naty 
92F,female ,2,fe,near,33,86,181,116,702,83,NA,NA,NA,naty 
2F,female ,2.1,fe,far,32,6,69,61,859,62,NA,NA,NA,naty 
6F,female ,2,fe,far,0,0,1200,8,1168,0,NA,NA,NA,naty 
9F,female ,2.1,fe,far,27,0,315,56,878,103,NA,NA,NA,naty 
16F,female ,2.1,fe,far,64,29,33,115,97,738,NA,NA,NA,naty 
18F,female ,2.5,fe,far,0,0,1200,17,1119,0,NA,NA,NA,naty 
22F,female ,1.9,fe,far,33,15,158,101,703,196,NA,NA,NA,naty 
30F,female ,2.3,fe,far,0,0,1200,87,825,6,NA,NA,NA,naty 
37F,female ,2.5,fe,far,51,0,283,139,428,346,NA,NA,NA,naty 
43F,female ,2,fe,far,52,35,94,108,390,497,NA,NA,NA,naty 
52F,female ,2.1,fe,far,196,72,10,153,110,691,NA,NA,NA,naty 
54F,female ,2.1,fe,far,59,0,537,136,461,266,NA,NA,NA,naty 
57F,female ,2,fe,far,0,0,1200,35,882,95,NA,NA,NA,naty 
63F,female ,2.1,fe,far,24,17,79,104,820,96,NA,NA,NA,naty 
66F,female ,2,fe,far,35,0,243,99,554,185,NA,NA,NA,naty 
68F,female ,2.3,fe,far,52,23,20,148,347,504,NA,NA,NA,naty 
70F,female ,2,fe,far,123,59,55,83,205,741,NA,NA,NA,naty 
72F,female ,2.1,fe,far,68,23,138,144,384,405,NA,NA,NA,naty 
74F,female ,1.8,fe,far,235,74,32,162,177,722,NA,NA,NA,naty 
76F,female ,2.2,fe,far,150,26,71,183,246,565,NA,NA,NA,naty 
78F,female ,1.9,fe,far,3,0,750,108,697,56,NA,NA,NA,naty 
80F,female ,1.7,fe,far,1,1,80,62,880,98,NA,NA,NA,naty 
82F,female ,2,fe,far,75,7,217,147,309,490,NA,NA,NA,naty 
84F,female ,2,fe,far,121,35,14,63,26,768,NA,NA,NA,naty 
85F,female ,2.3,fe,far,69,0,332,90,595,315,NA,NA,NA,naty 
87F,female ,1.7,fe,far,126,40,81,109,230,546,NA,NA,NA,naty 
89F,female ,1.9,fe,far,0,0,1200,74,870,11,NA,NA,NA,naty 
91F,female ,2.3,fe,far,38,29,23,168,446,232,NA,NA,NA,naty 
93F,female ,2.3,fe,far,120,38,101,101,561,361,NA,NA,NA,naty 
96F,female ,2.3,fe,far,26,26,16,92,561,282,NA,NA,NA,naty 
3F,female ,1.9,co,near,1,1,145,9,1056,46,NA,NA,NA,naty 
12F,female ,2,co,near,10,0,801,66,372,120,NA,NA,NA,naty 
13F,female ,2.3,co,near,106,37,12,140,603,172,NA,NA,NA,naty 
21F,female ,2,co,near,42,39,17,134,283,502,NA,NA,NA,naty 
24F,female ,2.2,co,near,0,0,1200,39,296,186,NA,NA,NA,naty 
28F,female ,2.1,co,near,74,33,63,133,699,210,NA,NA,NA,naty 
35F,female ,2,co,near,55,48,7,95,255,632,NA,NA,NA,naty 
39F,female ,2,co,near,266,73,23,105,821,91,NA,NA,NA,naty 
42F,female ,2.1,co,near,0,0,1200,16,77,1018,NA,NA,NA,naty 
47F,female ,2,co,near,118,42,44,138,452,364,NA,NA,NA,naty 
49F,female ,2.1,co,near,39,27,18,80,130,838,NA,NA,NA,naty 
58F,female ,2,co,near,101,50,13,192,507,192,NA,NA,NA,naty 
60F,female ,1.9,co,near,0,0,1200,21,525,22,NA,NA,NA,naty 
62F,female ,2,co,near,0,0,1200,151,128,256,NA,NA,NA,naty 
12F,female ,2,co,near,3,0,748,100,354,441,NA,NA,NA,naty 
232F,female ,1.7,co,near,122,43,38,92,675,131,NA,NA,NA,naty 
233F,female ,2.2,co,near,23,6,65,76,239,628,NA,NA,NA,naty 
234F,female ,2,co,near,44,37,155,54,178,702,NA,NA,NA,naty 
138F,female ,2.1,co,near,0,0,1200,12,921,29,NA,NA,NA,naty 
4F,female ,2,co,far,32,30,21,49,219,650,NA,NA,NA,naty 
11F,female ,2.1,co,far,22,13,2,88,137,597,NA,NA,NA,naty 
15F,female ,2.1,co,far,21,21,139,112,53,189,NA,NA,NA,naty 
19F,female ,2,co,far,74,66,39,104,230,448,NA,NA,NA,naty 
23F,female ,2,co,far,4,1,9,89,24,326,NA,NA,NA,naty 
33F,female ,1.9,co,far,91,79,8,96,298,571,NA,NA,NA,naty 
36F,female ,1.9,co,far,82,30,13,197,156,548,NA,NA,NA,naty 
45F,female ,1.8,co,far,0,0,1200,101,413,93,NA,NA,NA,naty 
48F,female ,2,co,far,80,4,61,32,15,490,NA,NA,NA,naty 
51F,female ,1.8,co,far,27,24,48,66,222,348,NA,NA,NA,naty 
55F,female ,1.9,co,far,176,89,13,115,54,822,NA,NA,NA,naty 
59F,female ,2,co,far,132,76,37,85,80,864,NA,NA,NA,naty 
64F,female ,1.8,co,far,57,43,5,70,133,571,NA,NA,NA,naty 
235F,female ,1.9,co,far,35,35,52,72,200,640,NA,NA,NA,naty 
236F,female ,2.3,co,far,0,0,1200,118,226,320,NA,NA,NA,naty 
237F,female ,1.7,co,far,125,5,228,69,135,754,NA,NA,NA,naty 
238F,female ,2.2,co,far,0,0,1200,128,509,307,NA,NA,NA,naty 
136F,female ,2.2,co,far,0,0,1200,42,30,465,NA,NA,NA,naty 
139F,female ,2,co,far,139,60,28,31,15,1040,NA,NA,NA,naty 
140F,female ,2,co,far,108,71,22,66,30,856,NA,NA,NA,naty 
141F,female ,2,co,far,53,29,41,119,61,545,NA,NA,NA,naty 
1F,female ,1.9,ma,near,48,39,21,56,997,0,NA,NA,NA,naty 
5F,female ,2.1,ma,near,0,0,1200,91,828,55,NA,NA,NA,naty 
14F,female ,1.8,ma,near,16,8,71,98,646,101,NA,NA,NA,naty 
19F,female ,2,ma,near,76,49,9,65,738,125,NA,NA,NA,naty 
28F,female ,2.1,ma,near,66,38,5,78,771,118,NA,NA,NA,naty 
30F,female ,1.8,ma,near,85,31,11,63,995,6,NA,NA,NA,naty 
31F,female ,2.1,ma,near,73,60,22,63,827,70,NA,NA,NA,naty 
40F,female ,1.8,ma,near,74,10,206,88,881,58,NA,NA,NA,naty 
42F,female ,2.3,ma,near,28,25,40,156,556,211,NA,NA,NA,naty 
46F,female ,1.8,ma,near,32,18,152,101,903,21,NA,NA,NA,naty 
50F,female ,2.1,ma,near,145,67,10,110,722,191,NA,NA,NA,naty 
54F,female ,1.9,ma,near,33,19,212,91,739,80,NA,NA,NA,naty 
63F,female ,2.3,ma,near,2,0,1155,67,103,227,NA,NA,NA,naty 
66F,female ,1.8,ma,near,128,42,44,12,1134,0,NA,NA,NA,naty 
68F,female ,1.9,ma,near,53,34,37,15,1147,0,NA,NA,NA,naty 
73F,female ,2,ma,near,89,33,25,68,887,89,NA,NA,NA,naty 
76F,female ,2.2,ma,near,73,49,104,126,605,196,NA,NA,NA,naty 
82F,female ,2,ma,near,39,28,80,103,658,70,NA,NA,NA,naty 
85F,female ,2,ma,near,62,8,229,87,644,216,NA,NA,NA,naty 
89F,female ,2,ma,near,84,70,19,62,646,347,NA,NA,NA,naty 
91F,female ,2,ma,near,132,34,88,178,620,112,NA,NA,NA,naty 
99F,female ,2,ma,near,47,43,31,30,1129,5,NA,NA,NA,naty 
102F,female ,2,ma,near,21,0,896,94,719,134,NA,NA,NA,naty 
104F,female ,2,ma,near,122,50,36,166,756,46,NA,NA,NA,naty 
111F,female ,2.1,ma,near,34,0,579,80,650,60,NA,NA,NA,naty 
114F,female ,2,ma,near,55,0,946,113,723,97,NA,NA,NA,naty 
117F,female ,2,ma,near,20,7,7,29,1108,11,NA,NA,NA,naty 
123F,female ,2,ma,near,89,52,23,39,1077,0,NA,NA,NA,naty 
127F,female ,2,ma,near,70,24,41,179,445,168,NA,NA,NA,naty 
131F,female ,2,ma,near,87,12,59,171,739,28,NA,NA,NA,naty 
6F,female ,1.7,ma,far,85,8,287,153,153,577,NA,NA,NA,naty 
18F,female ,2,ma,far,0,0,1200,42,1003,0,NA,NA,NA,naty 
22F,female ,1.7,ma,far,88,49,20,145,288,480,NA,NA,NA,naty 
26F,female ,1.8,ma,far,95,14,137,132,127,700,NA,NA,NA,naty 
29F,female ,2,ma,far,0,0,1200,1,1195,0,NA,NA,NA,naty 
34F,female ,1.9,ma,far,0,0,1200,6,1190,0,NA,NA,NA,naty 
38F,female ,2.3,ma,far,165,0,593,73,500,557,NA,NA,NA,naty 
41F,female ,2,ma,far,52,52,83,79,803,154,NA,NA,NA,naty 
43F,female ,2,ma,far,97,39,83,131,434,395,NA,NA,NA,naty 
52F,female ,2.2,ma,far,107,44,43,145,218,518,NA,NA,NA,naty 
53F,female ,1.9,ma,far,0,0,1200,26,1076,54,NA,NA,NA,naty 
57F,female ,2.4,ma,far,20,0,962,53,913,101,NA,NA,NA,naty 
62F,female ,2.1,ma,far,34,22,171,108,586,237,NA,NA,NA,naty 
64F,female ,1.8,ma,far,0,0,1200,15,1164,0,NA,NA,NA,naty 
70F,female ,2,ma,far,19,16,89,115,578,106,NA,NA,NA,naty 
75F,female ,2,ma,far,112,68,80,146,156,571,NA,NA,NA,naty 
78F,female ,2,ma,far,89,68,32,101,94,747,NA,NA,NA,naty 
81F,female ,2,ma,far,63,28,172,183,363,320,NA,NA,NA,naty 
86F,female ,2.1,ma,far,2,0,1159,49,961,13,NA,NA,NA,naty 
90F,female ,2,ma,far,82,31,107,94,747,189,NA,NA,NA,naty 
93F,female ,2.2,ma,far,13,11,123,91,645,137,NA,NA,NA,naty 
97F,female ,1.9,ma,far,55,0,247,143,158,529,NA,NA,NA,naty 
101F,female ,2.2,ma,far,0,0,1200,55,937,8,NA,NA,NA,naty 
107F,female ,2,ma,far,181,53,105,142,149,721,NA,NA,NA,naty 
109F,female ,2,ma,far,60,52,38,102,331,375,NA,NA,NA,naty 
113F,female ,2.1,ma,far,50,0,509,223,347,355,NA,NA,NA,naty 
115F,female ,2,ma,far,33,13,66,177,336,426,NA,NA,NA,naty 
122F,female ,2,ma,far,222,0,273,119,474,441,NA,NA,NA,naty 
129F,female ,1.9,ma,far,49,35,61,129,639,281,NA,NA,NA,naty 
132F,female ,1.9,ma,far,144,0,544,134,230,501,NA,NA,NA,naty 
135F,female ,2,ma,far,70,70,19,137,68,354,NA,NA,NA,naty 
10F,female ,1.9,mix,near,29,25,16,145,443,79,NA,NA,NA,naty 
17F,female ,2,mix,near,106,51,23,40,1063,18,NA,NA,NA,naty 
20F,female ,2,mix,near,170,62,9,42,939,125,NA,NA,NA,naty 
23F,female ,2,mix,near,5,5,113,94,655,99,NA,NA,NA,naty 
27F,female ,1.8,mix,near,20,0,370,86,416,354,NA,NA,NA,naty 
32F,female ,2,mix,near,139,66,1,19,1078,39,NA,NA,NA,naty 
35F,female ,2.1,mix,near,93,50,12,147,780,42,NA,NA,NA,naty 
37F,female ,1.9,mix,near,122,57,3,51,1030,0,NA,NA,NA,naty 
48F,female ,2,mix,near,65,50,32,15,1155,6,NA,NA,NA,naty 
51F,female ,2,mix,near,83,74,74,95,657,163,NA,NA,NA,naty 
56F,female ,2.3,mix,near,137,6,18,58,932,101,NA,NA,NA,naty 
65F,female ,2.1,mix,near,6,2,194,15,1139,0,NA,NA,NA,naty 
67F,female ,2.1,mix,near,72,58,6,50,844,51,NA,NA,NA,naty 
72F,female ,2.1,mix,near,74,28,10,63,978,23,NA,NA,NA,naty 
77F,female ,2.3,mix,near,81,39,10,139,604,138,NA,NA,NA,naty 
80F,female ,2.3,mix,near,72,41,69,149,673,167,NA,NA,NA,naty 
84F,female ,2,mix,near,223,90,17,77,942,33,NA,NA,NA,naty 
88F,female ,2,mix,near,132,58,8,139,742,39,NA,NA,NA,naty 
92F,female ,2.1,mix,near,79,49,12,86,762,121,NA,NA,NA,naty 
95F,female ,2,mix,near,100,67,8,37,1058,0,NA,NA,NA,naty 
100F,female ,2,mix,near,52,35,39,185,529,36,NA,NA,NA,naty 
106F,female ,2,mix,near,135,75,28,95,860,54,NA,NA,NA,naty 
108F,female ,2,mix,near,84,60,4,83,916,45,NA,NA,NA,naty 
112F,female ,2.1,mix,near,75,57,41,49,1018,20,NA,NA,NA,naty 
116F,female ,2,mix,near,159,43,99,102,907,66,NA,NA,NA,naty 
120F,female ,2,mix,near,90,44,161,25,1152,0,NA,NA,NA,naty 
124F,female ,2,mix,near,105,44,10,121,847,26,NA,NA,NA,naty 
126F,female ,2.3,mix,near,90,72,14,150,553,142,NA,NA,NA,naty 
130F,female ,1.8,mix,near,107,50,154,17,1112,13,NA,NA,NA,naty 
133F,female ,2,mix,near,114,43,9,50,1045,7,NA,NA,NA,naty 
9F,female ,2,mix,near,109,33,11,129,93,764,NA,NA,NA,naty 
16F,female ,2,mix,far,23,16,13,112,358,469,NA,NA,NA,naty 
21F,female ,2.1,mix,far,34,15,37,118,528,226,NA,NA,NA,naty 
24F,female ,1.8,mix,far,45,9,218,92,656,285,NA,NA,NA,naty 
25F,female ,2,mix,far,121,71,25,164,140,631,NA,NA,NA,naty 
33F,female ,2,mix,far,54,24,72,168,330,481,NA,NA,NA,naty 
39F,female ,1.9,mix,far,100,0,304,163,504,241,NA,NA,NA,naty 
44F,female ,1.9,mix,far,145,15,198,129,172,610,NA,NA,NA,naty 
47F,female ,2,mix,far,7,4,75,87,403,538,NA,NA,NA,naty 
49F,female ,2,mix,far,39,25,184,130,331,457,NA,NA,NA,naty 
55F,female ,1.8,mix,far,41,0,336,165,319,455,NA,NA,NA,naty 
58F,female ,2.2,mix,far,65,55,60,130,490,435,NA,NA,NA,naty 
61F,female ,1.7,mix,far,76,0,843,58,564,379,NA,NA,NA,naty 
69F,female ,2.3,mix,far,56,28,91,105,519,333,NA,NA,NA,naty 
71F,female ,1.8,mix,far,0,0,1200,7,1147,0,NA,NA,NA,naty 
74F,female ,2.3,mix,far,32,0,1008,48,936,140,NA,NA,NA,naty 
79F,female ,2.1,mix,far,0,0,1200,94,804,86,NA,NA,NA,naty 
83F,female ,2,mix,far,51,25,124,121,552,233,NA,NA,NA,naty 
87F,female ,2.1,mix,far,18,0,805,45,1065,42,NA,NA,NA,naty 
94F,female ,2,mix,far,53,14,69,106,392,303,NA,NA,NA,naty 
96F,female ,1.9,mix,far,32,0,750,66,817,0,NA,NA,NA,naty 
98F,female ,2,mix,far,31,0,487,133,446,273,NA,NA,NA,naty 
103F,female ,2,mix,far,0,0,1200,33,968,40,NA,NA,NA,naty 
105F,female ,2.1,mix,far,102,54,65,82,166,669,NA,NA,NA,naty 
110F,female ,2,mix,far,103,42,114,107,266,571,NA,NA,NA,naty 
118F,female ,2,mix,far,90,63,50,136,313,399,NA,NA,NA,naty 
119F,female ,2.1,mix,far,87,63,74,139,539,277,NA,NA,NA,naty 
121F,female ,2,mix,far,50,0,317,159,373,369,NA,NA,NA,naty 
125F,female ,2,mix,far,122,0,409,68,406,479,NA,NA,NA,naty 
128F,female ,2,mix,far,127,72,17,108,171,698,NA,NA,NA,naty 
